patric_id	pathway
fig|585394.18.peg.1	
	
fig|585394.18.peg.2	00230|Purine metabolism;00240|Pyrimidine metabolism
fig|585394.18.peg.3	
fig|585394.18.peg.4	
fig|585394.18.peg.5	
fig|585394.18.peg.6	
fig|585394.18.peg.7	
fig|585394.18.peg.8	
fig|585394.18.peg.9	
fig|585394.18.peg.10	00770|Pantothenate and CoA biosynthesis
fig|585394.18.peg.11	00410|beta-Alanine metabolism;00770|Pantothenate and CoA biosynthesis
fig|585394.18.peg.12	00410|beta-Alanine metabolism;00770|Pantothenate and CoA biosynthesis
fig|585394.18.peg.13	
fig|585394.18.peg.14	00020|Citrate cycle (TCA cycle);00720|Reductive carboxylate cycle (CO2 fixation);00630|Glyoxylate and dicarboxylate metabolism
fig|585394.18.peg.15	00020|Citrate cycle (TCA cycle);00720|Reductive carboxylate cycle (CO2 fixation);00630|Glyoxylate and dicarboxylate metabolism
fig|585394.18.peg.16	
fig|585394.18.peg.17	
fig|585394.18.peg.18	
fig|585394.18.peg.19	
fig|585394.18.peg.20	
fig|585394.18.peg.21	
fig|585394.18.peg.22	
fig|585394.18.peg.23	
fig|585394.18.peg.24	
fig|585394.18.peg.25	
fig|585394.18.rna.1	
fig|585394.18.rna.2	
fig|585394.18.rna.3	
fig|585394.18.rna.4	
fig|585394.18.rna.5	
fig|585394.18.rna.6	
fig|585394.18.peg.26	
fig|585394.18.peg.27	
fig|585394.18.peg.28	
fig|585394.18.peg.29	
fig|585394.18.rna.7	
fig|585394.18.peg.30	
fig|585394.18.peg.31	
fig|585394.18.peg.32	
fig|585394.18.peg.33	
fig|585394.18.peg.34	
fig|585394.18.peg.35	
fig|585394.18.peg.36	
fig|585394.18.peg.37	00970|Aminoacyl-tRNA biosynthesis
fig|585394.18.peg.38	
fig|585394.18.peg.39	
fig|585394.18.peg.40	
fig|585394.18.peg.41	
fig|585394.18.peg.42	
fig|585394.18.peg.43	
fig|585394.18.peg.44	
fig|585394.18.peg.45	
fig|585394.18.peg.46	
fig|585394.18.peg.47	
fig|585394.18.peg.48	
fig|585394.18.peg.49	
fig|585394.18.peg.50	
fig|585394.18.peg.51	
fig|585394.18.peg.52	
fig|585394.18.peg.53	
fig|585394.18.peg.54	
fig|585394.18.peg.55	00290|Valine, leucine and isoleucine biosynthesis;00620|Pyruvate metabolism
fig|585394.18.peg.56	
fig|585394.18.peg.57	
fig|585394.18.peg.58	
fig|585394.18.peg.59	
fig|585394.18.peg.60	
fig|585394.18.peg.61	
fig|585394.18.peg.62	00010|Glycolysis / Gluconeogenesis;00020|Citrate cycle (TCA cycle);00620|Pyruvate metabolism;00633|Trinitrotoluene degradation;00640|Propanoate metabolism;00650|Butanoate metabolism;00680|Methane metabolism;00720|Reductive carboxylate cycle (CO2 fixation)
