genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	source					1	55466	+	55466								
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.1		VBIAliSp252799_0001		476	2125	+	1650		hypothetical protein		PLF_239759_00004941	PGF_00606368			
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.2		VBIAliSp252799_0002		2628	3713	-	1086		Uncharacterized UPF0118 membrane protein	FIG00638284	PLF_239759_00004942	PGF_00846597			
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.3		VBIAliSp252799_0003		4271	4882	+	612		hypothetical protein		PLF_239759_00010368	PGF_00601323			
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.4		VBIAliSp252799_0004		4876	5583	+	708		COG2102: Predicted ATPases of PP-loop superfamily	FIG01332393	PLF_239759_00008414	PGF_02930291			
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.5		VBIAliSp252799_0005		5972	6772	-	801		putative lipoprotein	FIG00731883	PLF_239759_00032178	PGF_08238260			
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.6		VBIAliSp252799_0006		6771	6893	+	123		hypothetical protein		PLF_239759_00013491	PGF_00604465			
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.7		VBIAliSp252799_0007		7542	8648	+	1107		RND efflux system, membrane fusion protein	FIG00207095	PLF_239759_00003412	PGF_10509026			
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.8		VBIAliSp252799_0008		8681	11854	+	3174		RND efflux system, inner membrane transporter	FIG00034851	PLF_239759_00024727	PGF_05237064			
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.9		VBIAliSp252799_0009		11877	13265	+	1389		Efflux transport system, outer membrane factor (OMF) lipoprotein	FIG01347226	PLF_239759_00024776	PGF_06982509			
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.10		VBIAliSp252799_0010		13459	14175	+	717		hypothetical protein	FIG01347810	PLF_239759_00003936	PGF_00240636			
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.11		VBIAliSp252799_0011		14275	15528	+	1254		Putative NADH-dependent dehydrogenase	FIG00897375	PLF_239759_00000954	PGF_03815059			
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.12		VBIAliSp252799_0012		15555	18974	+	3420		FIG00896849: hypothetical protein		PLF_239759_00003195	PGF_00000911			
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.13		VBIAliSp252799_0013		19970	20617	-	648		hypothetical protein	FIG00638284	PLF_239759_00010284	PGF_00601242			
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.14		VBIAliSp252799_0014		20886	23123	-	2238		hypothetical protein	FIG00638284	PLF_239759_00024677	PGF_00609063			
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.15		VBIAliSp252799_0015		23122	24408	+	1287		hypothetical protein	FIG00000124	PLF_239759_00024721	PGF_10312718			
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	tRNA	fig|1211813.3.rna.1		VBIAliSp252799_r001		24550	24621	+	72		tRNA-Glu-CTC						
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.16		VBIAliSp252799_0016		25535	26209	+	675		Mg(2+)-transport-ATPase-associated protein MgtC	FIG00436510	PLF_239759_00024482	PGF_00021389			
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.17		VBIAliSp252799_0017		26381	27643	+	1263		Manganese transport protein MntH	FIG00554286	PLF_239759_00001884	PGF_00905234	GO:0005215|transporter activity;GO:0006810|transport;GO:0016020|membrane		
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.18		VBIAliSp252799_0018		28201	29070	+	870		hypothetical protein	FIG00638284	PLF_239759_00024514	PGF_08225224			
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.19		VBIAliSp252799_0019		29282	29782	-	501		hypothetical protein	FIG00644599	PLF_239759_00004254	PGF_02735426			
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.20		VBIAliSp252799_0020		29767	30390	-	624		D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase (EC 2.7.7.71)	FIG00003212	PLF_239759_00003096	PGF_01370898		2.7.7.71|D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase	00540|Lipopolysaccharide biosynthesis
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.21		VBIAliSp252799_0021		30566	31585	-	1020		D-glycero-alpha-D-manno-heptose 7-phosphate kinase (EC 2.7.1.168)	FIG00009038	PLF_239759_00024666	PGF_00420760		2.7.1.168|D-glycero-alpha-D-manno-heptose-7-phosphate kinase	00540|Lipopolysaccharide biosynthesis
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.22		VBIAliSp252799_0022		31757	31891	+	135		hypothetical protein		PLF_239759_00013123	PGF_00604093			
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.23		VBIAliSp252799_0023		32202	33218	+	1017		Transcriptional regulator, LacI family	FIG00954638	PLF_239759_00001991	PGF_09774558			
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.24		VBIAliSp252799_0024		33289	35901	+	2613		alpha-L-rhamnosidase (EC 3.2.1.40)	FIG01464497	PLF_239759_00024636	PGF_05827603	GO:0030596|alpha-L-rhamnosidase activity	3.2.1.40|Alpha-L-rhamnosidase	
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.25		VBIAliSp252799_0025		35967	38372	+	2406		hypothetical protein	FIG00138182	PLF_239759_00035348	PGF_12694617			
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.26		VBIAliSp252799_0026		38374	39345	+	972		transcriptional repressor/ROK family	FIG01312420	PLF_239759_00002202	PGF_00413800			
1211813.3	Alistipes sp. AP11	CAPH01000001	PATRIC	CDS	fig|1211813.3.peg.27		VBIAliSp252799_0027		39371	39967	+	597		D-sedoheptulose 7-phosphate isomerase (EC 5.3.1.28)		PLF_239759_00005666	PGF_04760055		5.3.1.28|D-sedoheptulose 7-phosphate isomerase	00540|Lipopolysaccharide biosynthesis
