genome_id	genome_name	patric_id	refseq_locus_tag	alt_locus_tag	gene	product	ec_number	ec_description	pathway_id	pathway_name
1121098.7	Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	fig|1121098.7.peg.1				5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	2.1.1.13	Methionine synthase	00270	Cysteine and methionine metabolism
1121098.7	Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	fig|1121098.7.peg.1				5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	2.1.1.13	Methionine synthase	00670	One carbon pool by folate
1121098.7	Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	fig|1121098.7.peg.2				Dihydroorotase (EC 3.5.2.3)	3.5.2.3	Dihydroorotase	00240	Pyrimidine metabolism
1121098.7	Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	fig|1121098.7.peg.3				Dolichol-phosphate mannosyltransferase (EC 2.4.1.83)	2.4.1.83	Dolichyl-phosphate beta-D-mannosyltransferase	00510	N-Glycan biosynthesis
1121098.7	Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	fig|1121098.7.peg.14				Aspartate--ammonia ligase (EC 6.3.1.1)	6.3.1.1	Aspartate--ammonia ligase	00250	Alanine, aspartate and glutamate metabolism
1121098.7	Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	fig|1121098.7.peg.14				Aspartate--ammonia ligase (EC 6.3.1.1)	6.3.1.1	Aspartate--ammonia ligase	00460	Cyanoamino acid metabolism
1121098.7	Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	fig|1121098.7.peg.14				Aspartate--ammonia ligase (EC 6.3.1.1)	6.3.1.1	Aspartate--ammonia ligase	00910	Nitrogen metabolism
1121098.7	Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	fig|1121098.7.peg.17				Sialidase (EC 3.2.1.18)	3.2.1.18	Exo-alpha-sialidase	00600	Sphingolipid metabolism
1121098.7	Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	fig|1121098.7.peg.18				Beta-hexosaminidase (EC 3.2.1.52)	3.2.1.52	Beta-N-acetylhexosaminidase	00513	High-mannose type N-glycan biosynthesis
1121098.7	Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	fig|1121098.7.peg.18				Beta-hexosaminidase (EC 3.2.1.52)	3.2.1.52	Beta-N-acetylhexosaminidase	00520	Amino sugar and nucleotide sugar metabolism
1121098.7	Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	fig|1121098.7.peg.18				Beta-hexosaminidase (EC 3.2.1.52)	3.2.1.52	Beta-N-acetylhexosaminidase	00531	Glycosaminoglycan degradation
1121098.7	Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	fig|1121098.7.peg.18				Beta-hexosaminidase (EC 3.2.1.52)	3.2.1.52	Beta-N-acetylhexosaminidase	00603	Glycosphingolipid biosynthesis - globo series
1121098.7	Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	fig|1121098.7.peg.18				Beta-hexosaminidase (EC 3.2.1.52)	3.2.1.52	Beta-N-acetylhexosaminidase	00604	Glycosphingolipid biosynthesis - ganglio series
